game_id,move_number,player,column,row,algorithm,depth,nodes_expanded,pruned_nodes,decision_time,board_state,timestamp
0,18,2,2,1,minimax,3,275,0,0.014124155044555664,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 2, 1, 0, 0, 0], [0, 1, 1, 2, 1, 0, 0], [0, 1, 1, 2, 2, 0, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.588463
0,19,1,5,4,minimax,3,289,0,0.018355846405029297,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 2, 1, 0, 0, 0], [0, 1, 1, 2, 1, 0, 0], [0, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.606834
0,20,2,3,1,minimax,3,325,0,0.01884913444519043,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 2, 0, 0, 0], [0, 0, 2, 1, 0, 0, 0], [0, 1, 1, 2, 1, 0, 0], [0, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.625709
0,21,1,5,3,minimax,3,232,0,0.012503862380981445,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 2, 0, 0, 0], [0, 0, 2, 1, 0, 0, 0], [0, 1, 1, 2, 1, 1, 0], [0, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.638226
0,22,2,5,2,minimax,3,1,0,1.8835067749023438e-05,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 2, 0, 0, 0], [0, 0, 2, 1, 0, 2, 0], [0, 1, 1, 2, 1, 1, 0], [0, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.638253
0,23,1,5,1,minimax,3,283,0,0.015774011611938477,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 2, 0, 1, 0], [0, 0, 2, 1, 0, 2, 0], [0, 1, 1, 2, 1, 1, 0], [0, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.654035
0,24,2,3,0,minimax,3,258,0,0.014434099197387695,"[[0, 0, 0, 2, 0, 0, 0], [0, 0, 2, 2, 0, 1, 0], [0, 0, 2, 1, 0, 2, 0], [0, 1, 1, 2, 1, 1, 0], [0, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.668476
0,25,1,5,0,minimax,3,159,0,0.008803129196166992,"[[0, 0, 0, 2, 0, 1, 0], [0, 0, 2, 2, 0, 1, 0], [0, 0, 2, 1, 0, 2, 0], [0, 1, 1, 2, 1, 1, 0], [0, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.677286
0,26,2,2,0,minimax,3,87,0,0.00475001335144043,"[[0, 0, 2, 2, 0, 1, 0], [0, 0, 2, 2, 0, 1, 0], [0, 0, 2, 1, 0, 2, 0], [0, 1, 1, 2, 1, 1, 0], [0, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.682044
0,27,1,0,4,minimax,3,57,0,0.0030651092529296875,"[[0, 0, 2, 2, 0, 1, 0], [0, 0, 2, 2, 0, 1, 0], [0, 0, 2, 1, 0, 2, 0], [0, 1, 1, 2, 1, 1, 0], [1, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.685116
0,28,2,1,2,minimax,3,40,0,0.0021331310272216797,"[[0, 0, 2, 2, 0, 1, 0], [0, 0, 2, 2, 0, 1, 0], [0, 2, 2, 1, 0, 2, 0], [0, 1, 1, 2, 1, 1, 0], [1, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.687256
0,29,1,0,3,minimax,3,1,0,8.106231689453125e-06,"[[0, 0, 2, 2, 0, 1, 0], [0, 0, 2, 2, 0, 1, 0], [0, 2, 2, 1, 0, 2, 0], [1, 1, 1, 2, 1, 1, 0], [1, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.687271
0,30,2,1,1,minimax,3,1,0,5.0067901611328125e-06,"[[0, 0, 2, 2, 0, 1, 0], [0, 2, 2, 2, 0, 1, 0], [0, 2, 2, 1, 0, 2, 0], [1, 1, 1, 2, 1, 1, 0], [1, 1, 1, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1, 2]]",2025-12-16T01:53:07.687282
1,1,1,3,5,iterative,7,27705,22480,1.8120052814483643,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]]",2025-12-16T01:53:09.499323
1,2,2,4,5,iterative,7,28370,21771,1.7961688041687012,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0]]",2025-12-16T01:53:11.295533
1,3,1,3,4,iterative,7,44675,34279,2.568866014480591,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0]]",2025-12-16T01:53:13.864436
