game_id,move_number,player,column,row,algorithm,depth,nodes_expanded,pruned_nodes,decision_time,board_state,timestamp,player1_pieces,player2_pieces,empty_cells,total_pieces,center_control_p1,center_control_p2,col_0_height,col_1_height,col_2_height,col_3_height,col_4_height,col_5_height,col_6_height,row_0_density,row_1_density,row_2_density,row_3_density,row_4_density,row_5_density,nodes_expanded_normalized,pruned_nodes_normalized,decision_time_normalized,player1_pieces_normalized,player2_pieces_normalized,empty_cells_normalized,total_pieces_normalized,center_control_p1_normalized,center_control_p2_normalized,col_0_height_normalized,col_1_height_normalized,col_2_height_normalized,col_3_height_normalized,col_4_height_normalized,col_5_height_normalized,col_6_height_normalized,row_0_density_normalized,row_1_density_normalized,row_2_density_normalized,row_3_density_normalized,row_4_density_normalized,row_5_density_normalized
0,1,1,3,5,minimax,3,400.0,0.0,0.0173439979553222,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]]",2025-12-16T01:53:07.343644,1,0,41,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.2977301490980353,-0.39084917983072254,-0.27470621831474745,-1.3978897804978112,-1.607032060131768,1.5065066010143917,-1.5065066010143915,-1.1293914733722348,-2.269562602395777,-0.7854101139774222,-0.8277860894716007,-1.188959432646191,-2.0260109629042162,-1.394429010147352,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-1.4145399719872835,-1.8053405929576183,-2.0882217028825747
0,2,2,3,4,minimax,3,400.0,0.0,0.0165607929229736,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]]",2025-12-16T01:53:07.360226,1,1,40,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,-0.2977301490980353,-0.39084917983072254,-0.2748208108187405,-1.3978897804978112,-1.4068311805944989,1.4059321640652518,-1.4059321640652516,-1.1293914733722348,-1.2355603653823286,-0.7854101139774222,-0.8277860894716007,-1.188959432646191,-1.4143850118387926,-1.394429010147352,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-1.4145399719872835,-1.3110108566379641,-2.0882217028825747
0,3,1,2,5,minimax,3,400.0,0.0,0.0171389579772949,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0]]",2025-12-16T01:53:07.377386,2,1,39,3,1,1,0,0,1,2,0,0,0,0,0,0,0,1,2,-0.2977301490980353,-0.39084917983072254,-0.2747362181788065,-1.1968101993473654,-1.4068311805944989,1.3053577271161116,-1.3053577271161114,-1.1293914733722348,-1.2355603653823286,-0.7854101139774222,-0.8277860894716007,-0.711539428803705,-1.4143850118387926,-1.394429010147352,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-1.4145399719872835,-1.3110108566379641,-1.5432403801729442
0,4,2,1,5,minimax,3,400.0,0.0,0.0184781551361084,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 2, 1, 1, 0, 0, 0]]",2025-12-16T01:53:07.395886,2,2,38,4,1,1,0,1,1,2,0,0,0,0,0,0,0,1,3,-0.2977301490980353,-0.39084917983072254,-0.2745402772062254,-1.1968101993473654,-1.2066303010572297,1.2047832901669715,-1.2047832901669715,-1.1293914733722348,-1.2355603653823286,-0.7854101139774222,-0.3193365397505209,-0.711539428803705,-1.4143850118387926,-1.394429010147352,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-1.4145399719872835,-1.3110108566379641,-0.9982590574633137
0,5,1,2,4,minimax,3,353.0,0.0,0.016737937927246,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 2, 0, 0, 0], [0, 2, 1, 1, 0, 0, 0]]",2025-12-16T01:53:07.412656,3,2,37,5,1,1,0,1,2,2,0,0,0,0,0,0,0,2,3,-0.2982253694358716,-0.39084917983072254,-0.274794892331536,-0.9957306181969195,-1.2066303010572297,1.1042088532178316,-1.1042088532178314,-1.1293914733722348,-1.2355603653823286,-0.7854101139774222,-0.3193365397505209,-0.23411942496121907,-1.4143850118387926,-1.394429010147352,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-1.4145399719872835,-0.8166811203183099,-0.9982590574633137
0,6,2,3,3,minimax,3,400.0,0.0,0.0174190998077392,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 1, 2, 0, 0, 0], [0, 2, 1, 1, 0, 0, 0]]",2025-12-16T01:53:07.430092,3,3,36,6,1,2,0,1,2,3,0,0,0,0,0,0,1,2,3,-0.2977301490980353,-0.39084917983072254,-0.2746952299924467,-0.9957306181969195,-1.0064294215199605,1.0036344162686914,-1.0036344162686912,-1.1293914733722348,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,-0.23411942496121907,-0.8027590607733688,-1.394429010147352,-0.8287279064934376,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-0.8940402203136095,-0.8166811203183099,-0.9982590574633137
0,7,1,5,5,minimax,3,313.0,0.0,0.0135936737060546,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 1, 2, 0, 0, 0], [0, 2, 1, 1, 0, 1, 0]]",2025-12-16T01:53:07.443698,4,3,35,7,1,2,0,1,2,3,0,1,0,0,0,0,1,2,4,-0.298646833553179,-0.39084917983072254,-0.2752549367585254,-0.7946510370464737,-1.0064294215199605,0.9030599793195514,-0.9030599793195512,-1.1293914733722348,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,-0.23411942496121907,-0.8027590607733688,-1.394429010147352,-0.32133442240005117,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-0.8940402203136095,-0.8166811203183099,-0.4532777347536831
0,8,2,4,5,minimax,3,1.0,0.0,1.9073486328125e-05,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0], [0, 0, 1, 2, 0, 0, 0], [0, 2, 1, 1, 2, 1, 0]]",2025-12-16T01:53:07.443726,4,4,34,8,1,2,0,1,2,3,1,1,0,0,0,0,1,2,5,-0.301934253668177,-0.39084917983072254,-0.27724106729348674,-0.7946510370464737,-0.8062285419826914,0.8024855423704114,-0.8024855423704111,-1.1293914733722348,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,-0.23411942496121907,-0.8027590607733688,-0.9378019062090178,-0.32133442240005117,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-0.8940402203136095,-0.8166811203183099,0.09170358795594749
0,9,1,2,3,minimax,3,383.0,0.0,0.0174829959869384,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 2, 0, 0, 0], [0, 0, 1, 2, 0, 0, 0], [0, 2, 1, 1, 2, 1, 0]]",2025-12-16T01:53:07.461217,5,4,33,9,1,2,0,1,3,3,1,1,0,0,0,0,2,2,5,-0.29790927134789097,-0.39084917983072254,-0.27468588119760046,-0.5935714558960278,-0.8062285419826914,0.7019111054212713,-0.7019111054212711,-1.1293914733722348,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,0.24330057888126685,-0.8027590607733688,-0.9378019062090178,-0.32133442240005117,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-1.1948945086986758,-0.3735404686399355,-0.8166811203183099,0.09170358795594749
0,10,2,2,2,minimax,3,1.0,0.0,1.5020370483398438e-05,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 2, 0, 0, 0], [0, 0, 1, 2, 0, 0, 0], [0, 2, 1, 1, 2, 1, 0]]",2025-12-16T01:53:07.461239,5,5,32,10,1,2,0,1,4,3,1,1,0,0,0,1,2,2,5,-0.301934253668177,-0.39084917983072254,-0.27724166031405534,-0.5935714558960278,-0.6060276624454223,0.6013366684721312,-0.6013366684721311,-1.1293914733722348,-0.2015581283688803,-0.7854101139774222,-0.3193365397505209,0.7207205827237527,-0.8027590607733688,-0.9378019062090178,-0.32133442240005117,-0.7648955309922231,-0.6785707352685971,-0.8705569414347726,-0.6618629945823626,-0.3735404686399355,-0.8166811203183099,0.09170358795594749
