game_id,winner,total_moves,game_duration,player1_algorithm,player1_depth,player2_algorithm,player2_depth,timestamp,algorithm_matchup,depth_matchup,winner_type,moves_per_second,move_nodes_expanded_mean,move_nodes_expanded_sum,move_nodes_expanded_max,move_pruned_nodes_mean,move_pruned_nodes_sum,move_pruned_nodes_max,move_decision_time_mean,move_decision_time_sum,move_decision_time_max,move_column_mean,move_column_std,total_moves_normalized,game_duration_normalized,moves_per_second_normalized,move_nodes_expanded_mean_normalized,move_nodes_expanded_sum_normalized,move_nodes_expanded_max_normalized,move_pruned_nodes_mean_normalized,move_pruned_nodes_sum_normalized,move_pruned_nodes_max_normalized,move_decision_time_mean_normalized,move_decision_time_sum_normalized,move_decision_time_max_normalized,move_column_mean_normalized,move_column_std_normalized
0,2,30,0.3609998226165771,minimax,3,minimax,3,2025-12-16T01:53:07.687286,minimax_vs_minimax,3_vs_3,player2,83.10253390862027,242.13333333333333,7264.0,400.0,0.0,0.0,0.0,0.01201915740966792,0.3605747222900376,0.0216400623321533,2.7666666666666666,1.7356968854500257,0.19908808422699095,-0.545289801210301,1.39288949626945,-0.5712475893204787,-0.595730651583505,-0.6435229685645427,-0.7997272566273695,-0.8153486258790862,-0.8977854896763038,-0.5414311582985565,-0.5626541023548258,-0.5837737056351395,-0.4068333786540871,-0.170221115527236
1,2,30,26.999211072921753,iterative,7,iterative,7,2025-12-16T01:53:34.686507,iterative_vs_iterative,7_vs_7,player2,1.111143578194691,13711.533333333333,411346.0,48860.0,8853.879482788061,265616.3844836418,25468.19224182093,0.8999438365300496,26.99831509590149,2.568866014480591,2.533333333333333,1.995397001952819,0.19908808422699095,-0.28797791856359833,-0.43628037758249166,-0.33013741723195833,-0.2956511009052333,-0.3732045523301936,1.967373612194454,2.2005808456342075,1.2263416079386051,-0.31573753207810146,-0.28073645684899684,-0.42950549033866375,-0.9873184836404271,0.9001554124403187
2,1,23,2.0097179412841797,minimax_ab,5,iterative,5,2025-12-16T01:53:36.696242,minimax_ab_vs_iterative,5_vs_5,player1,11.444392035084956,1569.5217391304348,36099.0,3930.0,805.6521739130435,18530.0,2414.0,0.08735356123551075,2.009131908416747,0.1842679977416992,2.869565217391304,1.6869646713465998,-0.5958622239188114,-0.5293640035250968,-0.20575291975797416,-0.5474865571327016,-0.5743171913358127,-0.6238320067546531,-0.5479369725223314,-0.6049505617092794,-0.6964503197138922,-0.5222825805211554,-0.5452067755967737,-0.5739244335939919,-0.1508430528526579,-0.3710751576224979
3,2,9,8.07430386543274,iterative,5,iterative,7,2025-12-16T01:53:44.770555,iterative_vs_iterative,5_vs_7,player2,1.1146471757807257,15257.444444444445,137317.0,40330.0,9567.799137980102,86110.19224182093,25468.19224182093,0.8971108860439725,8.073997974395752,2.3554718494415283,3.3333333333333335,1.5,-2.1857628402104163,-0.47078311733299255,-0.43620221480066,-0.3024647002561794,-0.49915063613030175,-0.4207863948906352,2.1904947538353836,0.16238573747596152,1.2263416079386051,-0.3164576144039347,-0.48101992124471316,-0.4424293289041007,1.0029161620270246,-1.1416662473127321
4,1,30,429.1683280279275,minimax,7,minimax,7,2025-12-16T02:01:36.316960,minimax_vs_minimax,7_vs_7,player1,0.06990264201893248,214906.30338256145,6447189.1014768435,459650.45571964927,0.0,0.0,0.0,15.688222262646896,470.6466678794069,42.95008794624037,3.1333333333333333,2.096521475885848,0.19908808422699095,3.5967758906798406,-0.4595097257396399,3.271367150891321,4.186689329640342,1.918256970458129,-0.7997272566273695,-0.8153486258790862,-0.8977854896763038,3.443162588655599,4.414567923141414,2.0161114890460006,0.5053575006101614,1.3169486921607643
5,2,36,13.653153896331789,minimax_ab,7,minimax_ab,5,2025-12-16T02:01:49.970121,minimax_ab_vs_minimax_ab,7_vs_5,player2,2.6367534031585307,8261.0,297396.0,42865.0,4675.871791212274,168331.38448364186,25468.19224182093,0.37922898266050553,13.652243375778198,1.9228968620300293,3.0277777777777777,2.0352060072787457,0.8804740626376787,-0.4168941984800871,-0.4022451024172547,-0.4277051656078486,-0.3802726994911368,-0.4066457183501054,0.6616218526659736,1.0959626226034658,1.2263416079386051,-0.448093379775785,-0.4219831640890893,-0.46862746465785365,0.2427570959734836,1.064231676542221
6,2,26,6.426921367645264,minimax_ab,3,minimax,5,2025-12-16T02:01:56.397050,minimax_ab_vs_minimax,3_vs_5,player2,4.04548282337645,4922.038461538462,127973.0,19608.0,29.26923076923077,761.0,113.0,0.24716910949120152,6.426396846771239,0.8770310878753662,2.923076923076923,1.895744221630691,-0.25516923471346753,-0.48669601358424014,-0.3708173463383908,-0.4874745384927145,-0.5060896814763893,-0.5363773610732225,-0.79057975083076,-0.8067078850893817,-0.8883609353242937,-0.4816604968462553,-0.49845712966096434,-0.5319684675564864,-0.017716989597310093,0.4894278454299066
7,2,26,9.72367000579834,minimax_ab,5,minimax_ab,7,2025-12-16T02:02:06.120727,minimax_ab_vs_minimax_ab,5_vs_7,player2,2.673887532639003,8373.0,217698.0,50335.0,5886.199701608497,153041.1922418209,25468.19224182093,0.37396250321314883,9.72302508354187,2.0470941066741943,2.3461538461538463,1.671940374350896,-0.25516923471346753,-0.45485106008022425,-0.40141666627702505,-0.4257002998176936,-0.43945806293211387,-0.3649767425087808,1.039885349354328,0.922350812108953,1.2263416079386051,-0.44943201904535335,-0.4635676211071873,-0.4611056791406187,-1.452982359069029,-0.432999099243994
8,2,9,2.816795110702514,iterative,3,minimax,5,2025-12-16T02:02:08.937530,iterative_vs_minimax,3_vs_5,player2,3.1951205701132386,7031.777777777777,63286.0,19608.0,23.444444444444443,211.0,83.0,0.31295792261759436,2.816621303558349,0.8449070453643799,2.111111111111111,1.1666666666666665,-2.1857628402104163,-0.5215680391507312,-0.3897883262090995,-0.44970896544563155,-0.5541275695652559,-0.5363773610732225,-0.7924001699285523,-0.8129528357258304,-0.8908630294000486,-0.4649382273245379,-0.536660798878915,-0.5339140031310192,-2.0377201021871367,-2.5155284572873176
9,1,18,0.9371509552001952,iterative,5,iterative,3,2025-12-16T02:02:09.874688,iterative_vs_iterative,5_vs_3,player1,19.207151099957873,866.5,15597.0,2990.0,463.6111111111111,8345.0,1890.0,0.05204387505849198,0.9367897510528557,0.1830017566680908,2.611111111111111,1.6138696240399015,-1.1636838725943845,-0.5397244675915723,-0.03257126053481722,-0.5600710592266115,-0.589542395497359,-0.6290754923357569,-0.6548349852964932,-0.720595693040606,-0.7401535629037446,-0.531257633587472,-0.5565557928910542,-0.5740011212354617,-0.79382344864498,-0.6723427273154297
10,2,35,186.6208658218384,iterative,5,minimax,7,2025-12-16T02:05:16.495707,iterative_vs_minimax,5_vs_7,player2,0.18754601660359618,83646.35081709275,2927622.278598246,459650.45571964927,288.6,10101.0,1666.0,5.33199781690325,186.61992359161377,40.55182695388794,3.3714285714285714,2.0159031589385656,0.766909732902564,1.2538879412979638,-0.4568851853362959,0.9217368962852366,1.5729870840774074,1.918256970458129,-0.7095311666202232,-0.7006572688267808,-0.7588358653360479,0.8108065971223146,1.408601580379702,1.87086507194142,1.097689240392141,0.9846733149038892
11,1,18,1.2117221355438232,iterative,3,iterative,5,2025-12-16T02:05:17.707440,iterative_vs_iterative,3_vs_5,player1,14.854890797155871,1169.2222222222222,21046.0,4533.0,616.5,11097.0,2996.0,0.06729506121741397,1.2113111019134515,0.2100329399108886,3.2222222222222223,1.6289858106324406,-1.1636838725943845,-0.5370722464393755,-0.1296671067811633,-0.5546521536261378,-0.5854958567461999,-0.6204683665361366,-0.607052656871979,-0.6893482309469574,-0.647909694644247,-0.5273810710937027,-0.5536504258520253,-0.5723640256363448,0.7264946834621007,-0.6100400547601877
12,1,38,0.2452080249786377,minimax_ab,3,minimax,3,2025-12-16T02:05:17.952655,minimax_ab_vs_minimax,3_vs_3,player1,154.97045826012638,132.21052631578948,5024.0,400.0,17.657894736842106,671.0,90.0,0.006441800217879418,0.24478840827941786,0.0178859233856201,3.210526315789474,2.015586491494267,1.1076027221079079,-0.5464082924320013,2.9962120108684407,-0.5732152721360796,-0.597394121358252,-0.6435229685645427,-0.7942086389453844,-0.8077297861026188,-0.8902792074490391,-0.5428488167992623,-0.5638795142917936,-0.5840010683921687,0.6973976857184248,0.9833681425993356
13,2,33,1.533000946044922,iterative,5,minimax_ab,3,2025-12-16T02:05:19.485666,iterative_vs_minimax_ab,5_vs_3,player2,21.526405502317928,704.2121212121212,23239.0,2832.0,343.8181818181818,11346.0,1938.0,0.04643733573682377,1.5324320793151844,0.1929211616516113,2.727272727272727,1.85864075456917,0.5397810734323348,-0.5339688527915162,0.019169663304856407,-0.562976107586778,-0.5838672901319051,-0.6299568441674743,-0.6922738412657404,-0.6865209714770015,-0.7361502123825368,-0.5326827096325577,-0.5502518767032654,-0.5734003700919206,-0.5048373574180149,0.33650269166532565
14,1,42,10.450557947158812,minimax_ab,7,minimax_ab,3,2025-12-16T02:05:29.936233,minimax_ab_vs_minimax_ab,7_vs_3,player1,4.018924177289359,5448.785714285715,228849.0,41147.0,3310.366297229568,139035.38448364186,25468.19224182093,0.24880523908705937,10.449820041656494,1.756361961364746,3.0,2.0242433093898957,1.5618600410483665,-0.4478296837983425,-0.3714098509308489,-0.47804545325082953,-0.4311771024597013,-0.416229024975995,0.234860742338472,0.7633224883391022,1.2263416079386051,-0.481244623709559,-0.45587566523993356,-0.47871335510999047,0.17365172633225293,1.0190479674956439
15,0,42,1.1778690814971924,minimax_ab,5,iterative,3,2025-12-16T02:05:31.114111,minimax_ab_vs_iterative,5_vs_3,draw,35.65761310808303,583.7857142857143,24519.0,3032.0,323.7857142857143,13599.0,2128.0,0.028029209091549784,1.177226781845091,0.133692979812622,3.0,2.0242433093898953,1.5618600410483665,-0.537399250117972,0.33442690103974404,-0.5651318110106891,-0.5829167359749068,-0.6288412089374522,-0.6985345836241039,-0.6609393827789674,-0.7203036165694223,-0.5373617065702405,-0.5540111535686998,-0.5769874197212828,0.17365172633225293,1.0190479674956419
16,2,39,27.05365490913391,minimax_ab,7,minimax_ab,7,2025-12-16T02:05:58.167776,minimax_ab_vs_minimax_ab,7_vs_7,player2,1.4415797100610144,14941.71794871795,582727.0,57666.0,9062.931940839655,353454.3456927465,25468.19224182093,0.6936600819612161,27.052743196487427,2.4124929904937744,3.230769230769231,1.9120330659651599,1.2211670518430227,-0.2874520181620052,-0.42890858140723215,-0.30811638999124713,-0.16838006810794737,-0.3240831331523216,2.0327087276575058,3.1979330851926644,1.2263416079386051,-0.36817095317090387,-0.28016042293052895,-0.43897594477974405,0.7477578741209409,0.5565637284557627
17,1,38,9.313169956207275,minimax_ab,7,iterative,3,2025-12-16T02:06:07.480954,minimax_ab_vs_iterative,7_vs_3,player1,4.080243373489904,5381.184210526316,204485.0,44995.0,3229.510117990575,122721.38448364186,25468.19224182093,0.24506587731210805,9.312503337860106,1.9806950092315672,3.210526315789474,2.015586491494267,1.1076027221079079,-0.4588162865586212,-0.37004186307350395,-0.47925555987806395,-0.44927030674181584,-0.39476420315037025,0.2095907796902594,0.5780858980063323,1.2263416079386051,-0.48219509860746923,-0.46791233362214957,-0.46512702253621785,0.6973976857184248,0.9833681425993356
18,1,28,10.648307800292969,minimax_ab,7,minimax,3,2025-12-16T02:06:18.129272,minimax_ab_vs_minimax,7_vs_3,player1,2.629525791809815,8308.142857142857,232628.0,46779.0,5130.163454480814,143644.5767254628,25468.19224182093,0.38027838298252653,10.647794723510742,2.0583009719848633,2.357142857142857,1.5919772405381725,-0.028040575243238303,-0.4459195184901341,-0.40240634530977915,-0.4268612807727068,-0.42837073983525087,-0.3848127368985733,0.803601519158231,0.8156573574737821,1.2263416079386051,-0.44782664210129164,-0.45378042159706794,-0.46042695524920785,-1.4256439710790914,-0.7625740824533195
19,1,41,18.56176996231079,iterative,7,minimax_ab,5,2025-12-16T02:06:36.691050,iterative_vs_minimax_ab,7_vs_5,player1,2.2088410794471365,7165.487804878048,293785.0,41786.0,4055.5215727717527,166276.38448364186,25468.19224182093,0.4527025746136177,18.560805559158325,2.4981491565704346,3.024390243902439,2.043132458726658,1.4482957113132517,-0.3694794066512086,-0.4117915234259542,-0.4473154774176491,-0.3829543018824812,-0.41266457041607446,0.46774394504846106,1.0726292161345532,1.2263416079386051,-0.42941778511186895,-0.3700339268734454,-0.4337883312275817,0.23432961187089477,1.0969012328526762
20,1,11,151.8046190738678,minimax,7,minimax_ab,3,2025-12-16T02:09:08.495722,minimax_vs_minimax_ab,7_vs_3,player1,0.07246156320610656,195229.71117078158,2147526.8228785973,459650.45571964927,29.363636363636363,323.0,91.0,13.800394426692616,151.80433869361877,40.568554162979126,2.5454545454545454,1.4396969378057565,-1.9586341807401868,0.9175802998714088,-0.45945263801949904,2.9191445920321373,0.9936722572885035,1.918256970458129,-0.7905502462725821,-0.8116811366871354,-0.8901958043131806,2.9633125293031317,1.040134601436009,1.871878125648419,-0.9571634132515261,-1.390210542195987
